"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","Check life at insider section in career page is visible","tests.web-app-tests","Tue Mar 04 12:56:39 GMT 2025","passed","Tue Mar 04 12:56:39 GMT 2025","","test_career_page","",""
"","5740","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 12:56:44 GMT 2025","passed","Tue Mar 04 12:56:49 GMT 2025","","test_qa_career_page","",""
"","82","Get pet by status","tests.api-tests","Tue Mar 04 12:56:21 GMT 2025","passed","Tue Mar 04 12:56:21 GMT 2025","","test_petstore_api","",""
"","120","Check all locations section in career page is visible","tests.web-app-tests","Tue Mar 04 12:56:39 GMT 2025","passed","Tue Mar 04 12:56:39 GMT 2025","","test_career_page","",""
"","82","Delete pet","tests.api-tests","Tue Mar 04 12:56:21 GMT 2025","passed","Tue Mar 04 12:56:21 GMT 2025","","test_petstore_api","",""
"","82","Get pet by status","tests.api-tests","Tue Mar 04 12:56:21 GMT 2025","passed","Tue Mar 04 12:56:21 GMT 2025","","test_petstore_api","",""
"","231","Get pet by status","tests.api-tests","Tue Mar 04 12:56:21 GMT 2025","passed","Tue Mar 04 12:56:21 GMT 2025","","test_petstore_api","",""
"","30006","Check redirection to Lever application form","tests.web-app-tests","Tue Mar 04 12:57:50 GMT 2025","broken","Tue Mar 04 12:58:20 GMT 2025","","test_qa_career_page","",""
"","84","Add a new pet","tests.api-tests","Tue Mar 04 12:56:20 GMT 2025","passed","Tue Mar 04 12:56:20 GMT 2025","","test_petstore_api","",""
"","30006","Check all listed jobs has QA department","tests.web-app-tests","Tue Mar 04 12:57:20 GMT 2025","broken","Tue Mar 04 12:57:50 GMT 2025","","test_qa_career_page","",""
"","82","Update pet details","tests.api-tests","Tue Mar 04 12:56:20 GMT 2025","passed","Tue Mar 04 12:56:21 GMT 2025","","test_petstore_api","",""
"","458","Get pet details","tests.api-tests","Tue Mar 04 12:56:20 GMT 2025","failed","Tue Mar 04 12:56:20 GMT 2025","","test_petstore_api","",""
"","11568","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 12:56:27 GMT 2025","passed","Tue Mar 04 12:56:39 GMT 2025","","test_career_page","",""
"","30010","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 12:56:49 GMT 2025","broken","Tue Mar 04 12:57:19 GMT 2025","","test_qa_career_page","",""
