"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Update pet details","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","failed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","30007","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:05:05 GMT 2025","broken","Tue Mar 04 17:05:35 GMT 2025","","test_qa_career_page","",""
"","10637","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:55 GMT 2025","failed","Tue Mar 04 17:05:05 GMT 2025","","test_qa_career_page","",""
"","17","Get pet by status","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","116","Check all locations section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:50 GMT 2025","passed","Tue Mar 04 17:04:50 GMT 2025","","test_career_page","",""
"","17","Add pet with invalid id field","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","34","Get pet by status","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","16","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","17","Delete pet","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","30007","Check all listed jobs has QA department","tests.web-app-tests","Tue Mar 04 17:05:36 GMT 2025","broken","Tue Mar 04 17:06:06 GMT 2025","","test_qa_career_page","",""
"","57","Check life at insider section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:50 GMT 2025","passed","Tue Mar 04 17:04:50 GMT 2025","","test_career_page","",""
"","11559","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:38 GMT 2025","passed","Tue Mar 04 17:04:50 GMT 2025","","test_career_page","",""
"","250","Get pet details","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","failed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","30007","Check redirection to Lever application form","tests.web-app-tests","Tue Mar 04 17:06:06 GMT 2025","broken","Tue Mar 04 17:06:36 GMT 2025","","test_qa_career_page","",""
"","18","Get pet by status","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","18","Add a new pet","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","18","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
"","18","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:04:33 GMT 2025","passed","Tue Mar 04 17:04:33 GMT 2025","","test_petstore_api","",""
