"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125","Check all locations section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:32 GMT 2025","passed","Tue Mar 04 17:04:32 GMT 2025","","test_career_page","",""
"","30006","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:47 GMT 2025","broken","Tue Mar 04 17:05:17 GMT 2025","","test_qa_career_page","",""
"","23","Add pet with invalid id field","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","23","Get pet by status","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","22","Update pet details","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","failed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","24","Get pet by status","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","30006","Check all listed jobs has QA department","tests.web-app-tests","Tue Mar 04 17:05:17 GMT 2025","broken","Tue Mar 04 17:05:47 GMT 2025","","test_qa_career_page","",""
"","22","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","23","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","24","Get pet with invalid ID","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","23","Delete pet","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","50","Check life at insider section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:32 GMT 2025","passed","Tue Mar 04 17:04:32 GMT 2025","","test_career_page","",""
"","25","Add a new pet","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","10673","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:36 GMT 2025","failed","Tue Mar 04 17:04:47 GMT 2025","","test_qa_career_page","",""
"","11825","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 17:04:20 GMT 2025","passed","Tue Mar 04 17:04:32 GMT 2025","","test_career_page","",""
"","30006","Check redirection to Lever application form","tests.web-app-tests","Tue Mar 04 17:05:48 GMT 2025","broken","Tue Mar 04 17:06:18 GMT 2025","","test_qa_career_page","",""
"","52","Get pet by status","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","passed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
"","277","Get pet details","tests.api-tests","Tue Mar 04 17:04:15 GMT 2025","failed","Tue Mar 04 17:04:15 GMT 2025","","test_petstore_api","",""
