"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Update pet details","tests.api-tests","Tue Mar 04 13:01:46 GMT 2025","passed","Tue Mar 04 13:01:46 GMT 2025","","test_petstore_api","",""
"","71","Get pet by status","tests.api-tests","Tue Mar 04 13:01:46 GMT 2025","passed","Tue Mar 04 13:01:46 GMT 2025","","test_petstore_api","",""
"","59","Check life at insider section in career page is visible","tests.web-app-tests","Tue Mar 04 13:02:03 GMT 2025","passed","Tue Mar 04 13:02:03 GMT 2025","","test_career_page","",""
"","30006","Check redirection to Lever application form","tests.web-app-tests","Tue Mar 04 13:03:13 GMT 2025","broken","Tue Mar 04 13:03:43 GMT 2025","","test_qa_career_page","",""
"","320","Get pet details","tests.api-tests","Tue Mar 04 13:01:45 GMT 2025","failed","Tue Mar 04 13:01:46 GMT 2025","","test_petstore_api","",""
"","5409","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 13:02:07 GMT 2025","passed","Tue Mar 04 13:02:12 GMT 2025","","test_qa_career_page","",""
"","28","Get pet by status","tests.api-tests","Tue Mar 04 13:01:46 GMT 2025","passed","Tue Mar 04 13:01:46 GMT 2025","","test_petstore_api","",""
"","11210","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 13:01:51 GMT 2025","passed","Tue Mar 04 13:02:02 GMT 2025","","test_career_page","",""
"","30006","Check all listed jobs has QA department","tests.web-app-tests","Tue Mar 04 13:02:42 GMT 2025","broken","Tue Mar 04 13:03:12 GMT 2025","","test_qa_career_page","",""
"","29","Get pet by status","tests.api-tests","Tue Mar 04 13:01:46 GMT 2025","passed","Tue Mar 04 13:01:46 GMT 2025","","test_petstore_api","",""
"","30007","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 13:02:12 GMT 2025","broken","Tue Mar 04 13:02:42 GMT 2025","","test_qa_career_page","",""
"","28","Delete pet","tests.api-tests","Tue Mar 04 13:01:46 GMT 2025","passed","Tue Mar 04 13:01:46 GMT 2025","","test_petstore_api","",""
"","30","Add a new pet","tests.api-tests","Tue Mar 04 13:01:46 GMT 2025","passed","Tue Mar 04 13:01:46 GMT 2025","","test_petstore_api","",""
"","128","Check all locations section in career page is visible","tests.web-app-tests","Tue Mar 04 13:02:02 GMT 2025","passed","Tue Mar 04 13:02:03 GMT 2025","","test_career_page","",""
