"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11165","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 12:08:14 GMT 2025","passed","Tue Mar 04 12:08:25 GMT 2025","","test_career_page","",""
"","82","Get pet by status","tests.api-tests","Tue Mar 04 12:08:08 GMT 2025","passed","Tue Mar 04 12:08:08 GMT 2025","","test_petstore_api","",""
"","138","Check all locations section in career page is visible","tests.web-app-tests","Tue Mar 04 12:08:25 GMT 2025","passed","Tue Mar 04 12:08:25 GMT 2025","","test_career_page","",""
"","453","Get pet details","tests.api-tests","Tue Mar 04 12:08:07 GMT 2025","failed","Tue Mar 04 12:08:08 GMT 2025","","test_petstore_api","",""
"","83","Add a new pet","tests.api-tests","Tue Mar 04 12:08:08 GMT 2025","passed","Tue Mar 04 12:08:08 GMT 2025","","test_petstore_api","",""
"","30006","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 12:08:34 GMT 2025","broken","Tue Mar 04 12:09:04 GMT 2025","","test_qa_career_page","",""
"","4071","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 12:08:30 GMT 2025","passed","Tue Mar 04 12:08:34 GMT 2025","","test_qa_career_page","",""
"","83","Update pet details","tests.api-tests","Tue Mar 04 12:08:08 GMT 2025","passed","Tue Mar 04 12:08:08 GMT 2025","","test_petstore_api","",""
"","30007","Check all listed jobs has QA department","tests.web-app-tests","Tue Mar 04 12:09:05 GMT 2025","broken","Tue Mar 04 12:09:35 GMT 2025","","test_qa_career_page","",""
"","82","Delete pet","tests.api-tests","Tue Mar 04 12:08:08 GMT 2025","passed","Tue Mar 04 12:08:08 GMT 2025","","test_petstore_api","",""
"","30007","Check redirection to Lever application form","tests.web-app-tests","Tue Mar 04 12:09:35 GMT 2025","broken","Tue Mar 04 12:10:05 GMT 2025","","test_qa_career_page","",""
"","229","Get pet by status","tests.api-tests","Tue Mar 04 12:08:08 GMT 2025","passed","Tue Mar 04 12:08:08 GMT 2025","","test_petstore_api","",""
"","82","Get pet by status","tests.api-tests","Tue Mar 04 12:08:08 GMT 2025","passed","Tue Mar 04 12:08:08 GMT 2025","","test_petstore_api","",""
"","55","Check life at insider section in career page is visible","tests.web-app-tests","Tue Mar 04 12:08:25 GMT 2025","passed","Tue Mar 04 12:08:25 GMT 2025","","test_career_page","",""
