"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30006","Check redirection to Lever application form","tests.web-app-tests","Tue Mar 04 11:28:57 GMT 2025","broken","Tue Mar 04 11:29:27 GMT 2025","","test_qa_career_page","",""
"","16","Delete pet","tests.api-tests","Tue Mar 04 11:27:31 GMT 2025","passed","Tue Mar 04 11:27:31 GMT 2025","","test_petstore_api","",""
"","15","Get pet by status","tests.api-tests","Tue Mar 04 11:27:31 GMT 2025","passed","Tue Mar 04 11:27:31 GMT 2025","","test_petstore_api","",""
"","100","Get pet details","tests.api-tests","Tue Mar 04 11:27:31 GMT 2025","failed","Tue Mar 04 11:27:31 GMT 2025","","test_petstore_api","",""
"","126","Check all locations section in career page is visible","tests.web-app-tests","Tue Mar 04 11:27:48 GMT 2025","passed","Tue Mar 04 11:27:48 GMT 2025","","test_career_page","",""
"","16","Get pet by status","tests.api-tests","Tue Mar 04 11:27:31 GMT 2025","passed","Tue Mar 04 11:27:31 GMT 2025","","test_petstore_api","",""
"","30007","Check all listed jobs has QA department","tests.web-app-tests","Tue Mar 04 11:28:27 GMT 2025","broken","Tue Mar 04 11:28:57 GMT 2025","","test_qa_career_page","",""
"","85","Get pet by status","tests.api-tests","Tue Mar 04 11:27:31 GMT 2025","passed","Tue Mar 04 11:27:31 GMT 2025","","test_petstore_api","",""
"","51","Check life at insider section in career page is visible","tests.web-app-tests","Tue Mar 04 11:27:48 GMT 2025","passed","Tue Mar 04 11:27:48 GMT 2025","","test_career_page","",""
"","4863","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 11:27:52 GMT 2025","passed","Tue Mar 04 11:27:57 GMT 2025","","test_qa_career_page","",""
"","15","Update pet details","tests.api-tests","Tue Mar 04 11:27:31 GMT 2025","passed","Tue Mar 04 11:27:31 GMT 2025","","test_petstore_api","",""
"","30007","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 11:27:57 GMT 2025","broken","Tue Mar 04 11:28:27 GMT 2025","","test_qa_career_page","",""
"","11135","Check all teams section in career page is visible","tests.web-app-tests","Tue Mar 04 11:27:36 GMT 2025","passed","Tue Mar 04 11:27:48 GMT 2025","","test_career_page","",""
"","17","Add a new pet","tests.api-tests","Tue Mar 04 11:27:31 GMT 2025","passed","Tue Mar 04 11:27:31 GMT 2025","","test_petstore_api","",""
